Rank,InSPI2,InSPI2_lowmg,InSPI2_cip,InSPI2_hypoxic
1,0,0,0,0.350044971
2,0.368227116,0.380312286,0,0.378909645
3,0.550183507,0.500545334,0.390218035,0.542839781
4,0.55060855,0.596075345,0.4758325,0.55445119
5,0.553811561,0.628347977,0.55272237,0.599327298
6,0.577225849,0.653803561,0.565032341,0.651961272
7,0.65664187,0.700767403,0.578386906,0.697233102
8,0.69789149,0.709404624,0.587691357,0.732713971
9,0.722233369,0.725903068,0.688861537,0.754592673
10,0.72960117,0.800595579,0.705705011,0.761189911
11,0.733856126,0.804641276,0.717896243,0.77892883
12,0.772097251,0.837045947,0.725359648,0.799270264
13,0.791059698,0.839220281,0.75871426,0.803027415
14,0.793438286,0.848344236,0.784537452,0.804595101
15,0.794500017,0.888796569,0.787908095,0.805495767
16,0.810805093,0.915403271,0.799249277,0.812328851
17,0.83251665,0.918527732,0.800643013,0.832480567
18,0.838026377,0.919474157,0.813361858,0.840970165
19,0.877483978,0.934889257,0.823079722,0.852093357
20,0.892890709,0.951133997,0.855270899,0.868097339
21,0.895160672,0.957282125,0.871870418,0.893385592
22,0.906566492,0.95960511,0.877598257,0.908487961
23,0.919405342,0.966515747,0.88847776,0.93238681
24,0.923129069,0.972097767,0.890950137,0.933968493
25,0.928046831,0.972298603,0.891773945,0.935705809
26,0.945013424,0.977693555,0.892892222,0.939062934
27,0.950218844,0.978136782,0.898160127,0.983211637
28,0.95306316,0.979338868,0.903156853,0.985546632
29,0.957897039,0.983382726,0.911993299,0.988957908
30,0.966973851,0.983727687,0.913789167,0.989510307
31,0.967021727,0.985700369,0.916450448,0.996633923
32,0.970170555,0.986484893,0.916910465,0.998802367
33,0.980569177,0.990151313,0.924220913,0.999990322
34,0.98084736,1.009156752,0.928154557,1.000285257
35,0.981248694,1.015384719,0.943856433,1.005352161
36,0.981574411,1.032342992,0.947406382,1.005977772
37,0.986317244,1.045723933,0.94922249,1.007891399
38,0.990816967,1.061519956,1.026101915,1.012804288
39,0.996451095,1.062931893,1.062624778,1.014539433
40,0.9997809,1.130273093,1.071154591,1.027189009
41,1.018029225,1.217475941,1.179872564,1.035241455
42,1.048996318,1.227260342,1.229265675,1.036359388
43,1.074381786,1.263865368,1.254785113,1.037584705
